PASTURE,BURN STATUS,Grazing Status,MapUnit_12,UTM_X,UTM_Y,Elevation (m),Predicted MAP (mm/yr),Average NPG Biomass (g m⁻²),Std Dev NPG Biomass,Average IPG Biomass (g m⁻²),Std Dev IPG Biomass,Total Grass Biomass (g m⁻²),Fraction Invasive Biomass,Predicted MAP (mm/yr) X,Average NPG Biomass (g m⁻²) X,Average IPG Biomass (g m⁻²) X,Total Grass Biomass (g m⁻²) X
6A,Not Burned,Grazed,Qy,516253,3522277,1200.170044,393.3751137,57.78778204,20.28757302,3.800392645,3.165277186,61.58817468,0.061706532,210.802857,63.97875168,14.05218861,144.5178385
6A,Not Burned,Grazed,Qy,516238,3522164,1203.26001,394.3101843,140.367514,72.48286861,22.91232514,9.67498465,163.2798392,0.1403255,211.8062305,93.91093066,39.73144367,213.8754226
6A,Not Burned,Grazed,Qy,516247,3522076,1206.150024,395.1847465,91.2291834,13.66038613,20.79037953,2.901075162,112.0195629,0.185595971,212.7468319,78.26075072,38.1016394,184.636075
6A,Not Burned,Grazed,Qi2,515627,3521367,1209.900024,396.3195534,63.58940357,15.24177933,56.87075522,19.54213559,120.4601588,0.472112571,213.9704356,66.7919939,56.56207498,190.0184191
6B,Not Burned,Grazed,Qi3,516705,3524490,1175.849976,386.0154921,1.313517431,1.741599852,11.36646206,11.17011531,12.67997949,0.89641013,202.988807,2.106121016,28.63581317,67.53856317
6B,Not Burned,Grazed,Qi3,516622,3524512,1172.550049,385.0168842,33.79134823,14.51083912,9.042271271,7.669362939,42.83361951,0.211102199,201.9399092,49.77613678,25.32955972,123.4621578
6B,Not Burned,Grazed,Qi3,516534,3524548,1168.060059,383.6581451,57.27170364,19.94681659,32.18250546,15.29903587,89.45420911,0.359765133,200.5171074,63.71958222,45.67673948,168.6969187
6B,Not Burned,Grazed,Qi3,516447,3524577,1163.930054,382.408343,36.28423229,12.83058267,63.15331326,25.47963087,99.43754555,0.635105311,199.2128202,51.51574123,58.69972945,176.0595212
6B,Not Burned,Grazed,Qi3,516358,3524587,1158.699951,380.8256346,13.94511421,9.192945131,38.89214504,14.59924909,52.83725925,0.736074232,197.5672207,31.29608762,49.16462191,135.3506048
6B,Not Burned,Grazed,Qi3,516729,3524542,1176.699951,386.2727077,17.17225127,11.89029351,3.88247734,2.796950374,21.05472861,0.184399306,203.2594159,35.16043966,14.30801454,88.37711267
6B,Not Burned,Grazed,Qi3,516671,3524577,1173.349976,385.2589542,6.468625078,1.782066663,2.622783645,2.850293415,9.091408723,0.288490346,202.1939204,19.1678129,9.777065223,55.49684287
